t,t0,treatment_period,yit,country,x_load,temp
17593,0,0,49428,norway,2906575,24.674
17593,0,0,2497632,poland,3054814,30.575
17593,0,0,279437,portugal,918454,54.224
17593,0,0,536480,romania,1130951,36.596
17593,0,0,76092,slovakia,535973,34.635
17593,0,0,1127139,spain,4368725,46.33
17600,0,0,204016.25,austria,4411620,47.956
17600,0,0,296667,belgium,5910023,48.269
17600,0,0,138666,bosnia_herzegovina,178910,NA
17600,0,0,280059,bulgaria,608135,48.714
17600,0,0,775320,czech_republic,1159091,43.67
17600,0,0,328419,denmark,621043,33.229
17600,0,0,179457,estonia,159300,29.026
17600,0,0,390967,finland,1603515,26.979
17600,0,0,558625,france,8339376,51.181
17600,0,0,4301487,germany,34806264,41.639
17600,0,0,156754.5,hungary,2838317,46.664
17600,0,0,1617425,italy,4819432,55.038
17600,0,0,9288,lithuania,207823,32.222
17600,0,0,5177.75,luxembourg,216873,45.042
17600,0,0,993803,netherlands,7657783,45.475
17600,0,0,50342,norway,2758688,25.538
17600,0,0,2225902,poland,2866052,41.356
17600,0,0,128104,portugal,895727,55.659
17600,0,0,429827,romania,1042597,50.938
17600,0,0,63993,slovakia,501192,47.12
17600,0,0,822708,spain,4272155,47.554
17607,0,0,224155,austria,4711368,31.019
17607,0,0,372089,belgium,6180470,35.76
17607,0,0,142729,bosnia_herzegovina,195699,NA
17607,0,0,277968,bulgaria,669721,41.9
17607,0,0,766246,czech_republic,1278329,27.999
17607,0,0,297853,denmark,619257,30.824
17607,0,0,207636,estonia,160237,26.507
17607,0,0,412992,finland,1623536,25.202
17607,0,0,1185791,france,9828087,36.744
17607,0,0,4481170.25,germany,36741254,30.843
17607,0,0,148580.5,hungary,3033950,33.392
17607,0,0,1602262,italy,4949629,48.53
17607,0,0,9408,lithuania,210562,24.675
17607,0,0,6498.75,luxembourg,307891,32.188
17607,0,0,1115590,netherlands,7851934,36.548
17607,0,0,50317,norway,2720403,27.127
17607,0,0,2326697,poland,3004683,29.746
17607,0,0,178156,portugal,897790,52.788
17607,0,0,473631,romania,1116619,30.774
17607,0,0,66000,slovakia,532000,31.276
17607,0,0,986563,spain,4401962,42.64
17614,0,0,213734.5,austria,4464137,41.239
17614,0,0,431811,belgium,6007503,44.814
17614,0,0,171897,bosnia_herzegovina,185363,NA
17614,0,0,378025,bulgaria,710132,41.129
17614,0,0,857065,czech_republic,1206190,38.585
17614,0,0,338540,denmark,577856,34.689
17614,0,0,201355,estonia,153515,27.274
17614,0,0,394968,finland,1610650,26.328
17614,0,0,1157032,france,8736246,47.264
17614,0,0,5154149,germany,34274231,39.52
17614,0,0,178400.5,hungary,2995390,41.384
17614,0,0,1611191,italy,4775655,52.926
17614,0,0,9292,lithuania,204716,32.474
17614,0,0,6975.75,luxembourg,270401,42.223
17614,0,0,1171469.5,netherlands,7570680,43.291
17614,0,0,51253,norway,2517713,29.071
17614,0,0,2376719,poland,2939771,38.111
17614,0,0,161187,portugal,867273,55.161
17614,0,0,460108,romania,1088843,40.193
17614,0,0,58992,slovakia,516298,41.018
17614,0,0,906528,spain,4120314,49.223
17621,0,0,133464,austria,3997344,51.517
17621,0,0,279318,belgium,5619856,47.891
17621,0,0,100463,bosnia_herzegovina,172842,NA
17621,0,0,218325,bulgaria,565547,53.471
17621,0,0,631138,czech_republic,1058926,47.636
17621,0,0,275436,denmark,546820,39.024
17621,0,0,184291,estonia,146951,33.584
17621,0,0,357627,finland,1515819,31.076
17621,0,0,292098,france,8046769,49.374
17621,0,0,3304865.75,germany,31735801,45.371
17621,0,0,123263,hungary,2635466,53.562
17621,0,0,1391787,italy,4196486,55.536
17621,0,0,9228,lithuania,189188,41.666
17621,0,0,6670.5,luxembourg,250783,44.574
17621,0,0,885682.5,netherlands,7127501,46.262
17621,0,0,50058,norway,2524011,32.564
17621,0,0,1896529,poland,2524124,45.377
17621,0,0,86064,portugal,817133,57.106
17621,0,0,312705,romania,990353,55.031
17621,0,0,56247,slovakia,459018,51.414
17621,0,0,808698,spain,3924680,51.745
17628,0,0,86279,austria,3966868,58.251
17628,0,0,339383,belgium,5604410,55.525
17628,0,0,88306,bosnia_herzegovina,145494,NA
17628,0,0,192689,bulgaria,507552,59.771
17628,0,0,606260,czech_republic,1052173,54.313
17628,0,0,192905,denmark,529887,47.491
17628,0,0,155581,estonia,121208,38.123
17628,0,0,273179,finland,1420609,37.336
17628,0,0,426282,france,7499612,55.609
17628,0,0,3496257.75,germany,32871140,58.582
17628,0,0,105822,hungary,2730176,58.643
17628,0,0,1341925,italy,4576249,59.031
17628,0,0,9197,lithuania,180889,49.475
17628,0,0,5353.5,luxembourg,278329,53.708
17628,0,0,1101522.25,netherlands,7134705,55.211
17628,0,0,51563,norway,2357546,38.454
17628,0,0,1952142,poland,2672456,58.11
17628,0,0,162965,portugal,888068,52.937
17628,0,0,218439,romania,850494,60.544
17628,0,0,66449,slovakia,470842,57.748
17628,0,0,1029104,spain,4184397,45.143
17635,0,0,72892.5,austria,3841847,61.446
