mth,country,category_group,mwh
2015-08-01,latvia,renewable_ex_nuclear,76661
2015-08-01,lithuania,fossil,184955
2015-08-01,lithuania,other,10073
2015-08-01,lithuania,renewable_ex_nuclear,154481
2015-08-01,luxembourg,fossil,18342
2015-08-01,luxembourg,renewable_ex_nuclear,16763
2015-08-01,montenegro,fossil,121790
2015-08-01,montenegro,renewable_ex_nuclear,41412
2015-08-01,netherlands,fossil,3512345.75
2015-08-01,netherlands,nuclear,307449
2015-08-01,netherlands,other,2187394.25
2015-08-01,netherlands,renewable_ex_nuclear,109359
2015-08-01,norway,fossil,214880
2015-08-01,norway,other,35082
2015-08-01,norway,renewable_ex_nuclear,8750554
2015-08-01,poland,fossil,9580052
2015-08-01,poland,renewable_ex_nuclear,731011
2015-08-01,portugal,fossil,1846756
2015-08-01,portugal,other,23582
2015-08-01,portugal,renewable_ex_nuclear,1364452
2015-08-01,romania,fossil,2261581
2015-08-01,romania,nuclear,876113
2015-08-01,romania,renewable_ex_nuclear,1426729
2015-08-01,slovakia,fossil,212114
2015-08-01,slovakia,nuclear,1142030
2015-08-01,slovakia,other,186670
2015-08-01,slovakia,renewable_ex_nuclear,297954
2015-08-01,slovenia,fossil,262051
2015-08-01,slovenia,nuclear,439317
2015-08-01,slovenia,renewable_ex_nuclear,336601
2015-08-01,spain,fossil,8134844
2015-08-01,spain,nuclear,4329471
2015-08-01,spain,other,54657
2015-08-01,spain,renewable_ex_nuclear,6208808
2015-08-01,sweden,nuclear,3376213
2015-08-01,sweden,other,148307
2015-08-01,sweden,renewable_ex_nuclear,6266402
2015-08-01,switzerland,nuclear,609076
2015-08-01,switzerland,renewable_ex_nuclear,1029588
2015-09-01,austria,fossil,448466.25
2015-09-01,austria,other,502062.25
2015-09-01,austria,renewable_ex_nuclear,2538257
2015-09-01,belgium,fossil,2132538
2015-09-01,belgium,nuclear,976442
2015-09-01,belgium,other,335461
2015-09-01,belgium,renewable_ex_nuclear,898391
2015-09-01,bulgaria,fossil,1909481
2015-09-01,bulgaria,nuclear,679740
2015-09-01,bulgaria,renewable_ex_nuclear,499098
2015-09-01,czech_republic,fossil,2498031
2015-09-01,czech_republic,nuclear,1468801
2015-09-01,czech_republic,renewable_ex_nuclear,857990
2015-09-01,denmark,fossil,559534
2015-09-01,denmark,renewable_ex_nuclear,863385
2015-09-01,estonia,fossil,612491
2015-09-01,estonia,renewable_ex_nuclear,77643
2015-09-01,finland,fossil,776612
2015-09-01,finland,nuclear,1528914
2015-09-01,finland,other,116238
2015-09-01,finland,renewable_ex_nuclear,1706622
2015-09-01,france,fossil,1741498
2015-09-01,france,nuclear,26354104
